sample_id,hole_id,depth_from,depth_to,sample_no,im,tm,ash,vm,fc,sulphur,gross_cv,net_cv,sg,rd,hgi,seam_quality_id,seam_73_id,seam_code_quality_original,analysis_date,lab_name,remarks,created_at,updated_at
1,BC01C,3.55,3.85,BC01C_1,4.85,28.6164111367074,54.786904452577,14.6907425880656,1.90594182264991,0.312092201441195,,,,,,,,,,,,2025-10-30 12:50:19.181411,2025-10-30 12:50:19.181417
2,BC01C,3.85,4.2,BC01C_2,6.65,34.0221445222651,37.5809864801178,20.1100503496136,8.28681864800351,0.575177062536483,,,,,,208,342,17.0,,,,2025-10-30 12:50:19.181450,2025-10-30 12:50:19.181451
3,BC01C,4.2,4.45,BC01C_3,4.24,27.5367065185747,55.7822433220012,13.4854189168932,3.19563124253086,0.2029517054273,,,,,,208,342,17.0,,,,2025-10-30 12:50:19.181478,2025-10-30 12:50:19.181479
4,BC01C,4.45,4.7,BC01C_4,4.89,31.5488080048785,49.9009189644435,15.4220535565009,3.12821947417705,0.206843366411502,,,,,,208,342,17.0,,,,2025-10-30 12:50:19.181503,2025-10-30 12:50:19.181503
5,BC01C,4.7,4.95,BC01C_5,7.89,36.3151338510687,36.0010548339909,19.188250170673,8.49556114426744,0.395204315391696,,,,,,208,342,17.0,,,,2025-10-30 12:50:19.181527,2025-10-30 12:50:19.181528
6,BC01C,4.95,5.1,BC01C_6,5.68,32.3780875082486,44.5966512883101,17.5005509528653,5.51794805932692,0.296240184919335,,,,,,208,342,17.0,,,,2025-10-30 12:50:19.181551,2025-10-30 12:50:19.181552
7,BC01C,5.1,5.4,BC01C_7,5.87,32.6157741661135,38.8739598835692,20.2826519759999,8.22761397431755,0.390288748800966,,,,,,208,342,17.0,,,,2025-10-30 12:50:19.181574,2025-10-30 12:50:19.181575
8,BC01C,5.4,5.7,BC01C_8,4.22,23.3234507059163,60.2064265057145,13.4950726757587,2.97505011261045,0.235841631050711,,,,,,,,,,,,2025-10-30 12:50:19.181597,2025-10-30 12:50:19.181598
9,BC01C,6.4,6.7,BC01C_9,5.42,23.856794336911,52.0514953912876,18.3809698470697,5.71835474529798,0.405270561755117,,,,,,,,,,,,2025-10-30 12:50:19.181622,2025-10-30 12:50:19.181622
10,BC01C,6.7,7.1,BC01C_10,9.36,35.644724405961,31.8944745844057,21.6233725995971,10.8374284100362,0.482948570819344,,,,,,209,343,18.0,,,,2025-10-30 12:50:19.181645,2025-10-30 12:50:19.181646
11,BC01C,7.1,7.4,BC01C_11,5.65,24.1113007739469,51.5056601647222,18.2891765134788,6.10145141777467,0.373853390569894,,,,,,209,343,18.0,,,,2025-10-30 12:50:19.181669,2025-10-30 12:50:19.181670
12,BC01C,9.25,9.5,BC01C_12,4.15,19.5748059372545,58.8712420539297,18.5380072314628,3.01594477735296,0.360801600907465,,,,,,,344,-1.0,,,,2025-10-30 12:50:19.181693,2025-10-30 12:50:19.181693
13,BC01C,9.5,10.2,BC01C_13,13.1,44.3715963213601,15.4925104245012,25.3554263967241,14.7804668574146,0.641423020552326,,,,,,212,344,21.0,,,,2025-10-30 12:50:19.181716,2025-10-30 12:50:19.181716
14,BC01C,10.2,10.5,BC01C_14,4.33,29.1032577944656,54.05876593172,13.1655250275677,3.67245124624668,0.300275529859753,,,,,,,,,,,,2025-10-30 12:50:19.181739,2025-10-30 12:50:19.181739
15,BC01C,18.0,18.3,BC01C_15,3.83,24.6628793960366,63.5167263812016,10.396522643347,1.42387157941491,0.293060380762636,,,,,,,,,,,,2025-10-30 12:50:19.181761,2025-10-30 12:50:19.181762
16,BC01C,18.3,18.6,BC01C_16,7.31,34.3924385572952,38.7478257880614,18.7440803041808,8.11565535046258,1.01359400135887,,,,,,214,345,23.0,,,,2025-10-30 12:50:19.181784,2025-10-30 12:50:19.181784
